,,,accuracy,accuracy,f1_score,f1_score,roc_auc,roc_auc,recall,recall
,,,mean,std,mean,std,mean,std,mean,std
dataset,model,strategy,,,,,,,,
Bank_Churn,Logistic,Class_Weights,0.7536325838098963,0.001639338320773869,0.558848801981525,0.0017553487525005277,0.8187028479439856,0.0010826263093927614,0.7374645513500129,0.0016738161859728346
Bank_Churn,Logistic,None,0.8340947863220265,0.001542255909857575,0.4942185011174362,0.005494444483500476,0.817723347788422,0.0013371221493368066,0.3830932221804046,0.006347346045615378
Bank_Churn,Logistic,SMOTE,0.7554079712150725,0.001528476968848407,0.5601607331676199,0.0013840158958249057,0.8187423008085675,0.001064047718202395,0.73606137681712,0.0027426192949669627
Bank_Churn,RandomForest,Class_Weights,0.8423779392875778,0.0013563073240323617,0.654663024184636,0.003215771322259879,0.8829602673090061,0.00106428427807558,0.7060792805069938,0.00447475675591304
Bank_Churn,RandomForest,None,0.8637432318423544,0.0011647942178045472,0.624884594190254,0.0032911392390864796,0.8854513554159734,0.0011994828277027887,0.5363533828421401,0.0029942663196705316
Bank_Churn,RandomForest,SMOTE,0.8616709373532563,0.002015205764692769,0.6420300698785482,0.005059735504682791,0.8849264697733423,0.001222284736770477,0.5862658240822054,0.0074867140130141785
Bank_Churn,XGB,Class_Weights,0.8160863895897499,0.005589301871987384,0.6436001405686055,0.0036058689254656216,0.8874485765126587,0.003278200151982782,0.7846288848383174,0.015069735138280554
Bank_Churn,XGB,None,0.8658215898745979,0.0012250900516822998,0.6386453199169642,0.0027819400295852116,0.889622032285113,0.0014732459536262689,0.5603504605270171,0.0017864241580215583
Bank_Churn,XGB,SMOTE,0.8633190760853611,0.002447262557792309,0.6454752445565571,0.004347335302334672,0.8870541012287912,0.001900941091531815,0.587984389720732,0.003370472957227628
IBM_Telco,Logistic,Class_Weights,0.7474078972836957,0.004616542851317615,0.6265539784552068,0.010268821440314645,0.8443577414527192,0.015832624321097905,0.7988028845464581,0.023056403723618023
IBM_Telco,Logistic,None,0.8054769662558876,0.01228761683922273,0.6016791556554464,0.029891672928440614,0.8450311349286714,0.014923578705063502,0.5542816590443148,0.034046616661266293
IBM_Telco,Logistic,SMOTE,0.7516669422220789,0.008011391482336453,0.6256943247235215,0.015422134545088565,0.8430542331975308,0.015108770739401691,0.7827472007569785,0.033653827667701176
IBM_Telco,RandomForest,Class_Weights,0.7725376435576489,0.01113599915183246,0.6257866095018749,0.020041138533369845,0.8428830491700061,0.013118453355414469,0.716941692592221,0.026980979458758683
IBM_Telco,RandomForest,None,0.8003669591586554,0.008963616549047803,0.5785226011705842,0.0242725783626981,0.8423276624923686,0.013306029165090232,0.5168298662384769,0.02863418152683294
IBM_Telco,RandomForest,SMOTE,0.7735317601135557,0.008651999423434366,0.6182070955207974,0.015989283260491954,0.8353339885215683,0.011136596022302665,0.6912574730111396,0.02738110607984013
IBM_Telco,XGB,Class_Weights,0.7513828513129879,0.013078703392126067,0.6301546575465934,0.01618152907638774,0.8465041052532974,0.012687587005800326,0.7977534372267064,0.014460214489777651
IBM_Telco,XGB,None,0.8019297615975225,0.00735215518531168,0.58461657953472,0.02195848511450269,0.8452588604083022,0.010051748802561945,0.5259250763429915,0.0300279406895543
IBM_Telco,XGB,SMOTE,0.797100821020711,0.00960156218126665,0.6086069527847064,0.02198493273528503,0.8456491526230291,0.011371034938381394,0.5949506100270965,0.02945392933363793
